phase,trial,counts,energies,success,iteration,bias_strength
baseline,50,"{'1100': 70, '1101': 61, '0010': 52, '0000': 60, '1110': 64, '0011': 78, '0111': 77, '1011': 66, '0110': 55, '1000': 61, '0101': 57, '1001': 59, '1111': 71, '0001': 70, '0100': 53, '1010': 70}","{'H_AFM': np.float64(0.080078125), 'H_FM': np.float64(-0.068359375), 'H_TF': np.float64(0.0)}",False,,
baseline,51,"{'1010': 58, '1011': 68, '1101': 70, '0001': 72, '1111': 81, '1100': 55, '1110': 57, '1001': 73, '0101': 51, '0111': 68, '0011': 60, '1000': 64, '0110': 65, '0010': 54, '0000': 55, '0100': 73}","{'H_AFM': np.float64(0.029296875), 'H_FM': np.float64(0.013671875), 'H_TF': np.float64(0.0)}",False,,
baseline,52,"{'1011': 42, '1010': 48, '1101': 58, '1100': 64, '0110': 59, '1000': 73, '0010': 65, '0000': 73, '0100': 54, '0001': 63, '1111': 82, '0111': 67, '0011': 73, '1001': 64, '0101': 63, '1110': 76}","{'H_AFM': np.float64(0.080078125), 'H_FM': np.float64(-0.146484375), 'H_TF': np.float64(0.0)}",True,,
baseline,53,"{'1011': 61, '1010': 70, '1100': 74, '0011': 74, '0111': 60, '1101': 54, '0110': 72, '1000': 52, '0000': 64, '0010': 70, '1001': 56, '0101': 61, '1110': 65, '1111': 64, '0001': 60, '0100': 67}","{'H_AFM': np.float64(0.06640625), 'H_FM': np.float64(0.0), 'H_TF': np.float64(0.0)}",False,,
baseline,54,"{'0100': 62, '0010': 64, '1110': 65, '1101': 70, '1000': 54, '0110': 63, '0001': 51, '1111': 59, '0101': 67, '1001': 73, '1100': 67, '1011': 75, '0011': 56, '0111': 60, '0000': 78, '1010': 60}","{'H_AFM': np.float64(-0.005859375), 'H_FM': np.float64(0.005859375), 'H_TF': np.float64(0.0)}",False,,
baseline,55,"{'1111': 61, '1011': 69, '0011': 78, '0111': 73, '1110': 62, '0000': 59, '0010': 67, '0110': 57, '1000': 64, '1100': 62, '0101': 63, '1001': 55, '0001': 62, '1101': 60, '0100': 71, '1010': 61}","{'H_AFM': np.float64(0.0546875), 'H_FM': np.float64(-0.0390625), 'H_TF': np.float64(0.0)}",False,,
baseline,56,"{'0111': 64, '0011': 50, '1111': 48, '1110': 64, '1010': 71, '0000': 60, '0010': 77, '0101': 75, '1001': 71, '1100': 71, '1011': 69, '0100': 52, '0001': 62, '1101': 61, '1000': 63, '0110': 66}","{'H_AFM': np.float64(-0.119140625), 'H_FM': np.float64(0.091796875), 'H_TF': np.float64(0.0)}",True,,
baseline,57,"{'1110': 65, '0000': 59, '1100': 63, '1010': 67, '1001': 62, '0101': 70, '1101': 61, '1000': 70, '0110': 65, '0010': 63, '0100': 56, '0011': 60, '0111': 68, '1011': 58, '1111': 62, '0001': 75}","{'H_AFM': np.float64(-0.0546875), 'H_FM': np.float64(0.0234375), 'H_TF': np.float64(0.0)}",False,,
baseline,58,"{'1111': 51, '1101': 47, '0010': 73, '0000': 66, '1011': 79, '0011': 63, '0111': 66, '0110': 69, '1000': 56, '1100': 64, '0101': 60, '1001': 69, '0100': 64, '1110': 70, '0001': 72, '1010': 55}","{'H_AFM': np.float64(0.056640625), 'H_FM': np.float64(0.091796875), 'H_TF': np.float64(0.0)}",False,,
baseline,59,"{'0000': 60, '1011': 66, '1001': 54, '0101': 82, '1110': 63, '0111': 65, '0011': 53, '0010': 61, '1101': 59, '1010': 70, '1100': 62, '0110': 67, '1000': 73, '0001': 61, '1111': 60, '0100': 68}","{'H_AFM': np.float64(-0.109375), 'H_FM': np.float64(0.0390625), 'H_TF': np.float64(0.0)}",True,,
baseline,60,"{'1101': 55, '1111': 74, '0001': 84, '1010': 68, '1011': 61, '0011': 53, '0111': 64, '1110': 58, '0010': 61, '0000': 53, '0101': 64, '1001': 69, '1100': 54, '0100': 78, '1000': 60, '0110': 68}","{'H_AFM': np.float64(-0.04296875), 'H_FM': np.float64(0.09375), 'H_TF': np.float64(0.0)}",False,,
baseline,61,"{'1110': 85, '0001': 45, '0100': 63, '1100': 69, '0011': 73, '0111': 72, '1011': 65, '1111': 66, '1001': 64, '0101': 68, '1010': 57, '1000': 55, '0110': 65, '1101': 66, '0000': 49, '0010': 62}","{'H_AFM': np.float64(0.0390625), 'H_FM': np.float64(0.02734375), 'H_TF': np.float64(0.0)}",False,,
baseline,62,"{'1010': 56, '1111': 59, '0001': 70, '1100': 77, '1001': 58, '0101': 64, '1110': 49, '0111': 74, '0011': 78, '1011': 61, '1000': 69, '0110': 62, '1101': 67, '0100': 55, '0010': 67, '0000': 58}","{'H_AFM': np.float64(0.05859375), 'H_FM': np.float64(-0.06640625), 'H_TF': np.float64(0.0)}",False,,
baseline,63,"{'0111': 78, '0011': 51, '1100': 63, '1101': 64, '1000': 63, '0110': 56, '1011': 69, '1001': 87, '0101': 54, '1110': 70, '1010': 64, '1111': 60, '0001': 55, '0100': 58, '0010': 65, '0000': 67}","{'H_AFM': np.float64(-0.044921875), 'H_FM': np.float64(0.033203125), 'H_TF': np.float64(0.0)}",False,,
baseline,64,"{'1101': 59, '0100': 68, '0111': 59, '0011': 63, '1011': 62, '0010': 66, '0000': 61, '0101': 70, '1001': 60, '1100': 69, '0001': 73, '1111': 54, '1110': 69, '1010': 57, '1000': 70, '0110': 64}","{'H_AFM': np.float64(0.0234375), 'H_FM': np.float64(0.0390625), 'H_TF': np.float64(0.0)}",False,,
baseline,65,"{'0100': 49, '0000': 70, '1100': 53, '1011': 68, '0011': 70, '0111': 55, '1000': 75, '0110': 57, '1101': 75, '1110': 63, '1001': 82, '0101': 62, '1010': 74, '0010': 66, '0001': 56, '1111': 49}","{'H_AFM': np.float64(-0.091796875), 'H_FM': np.float64(0.037109375), 'H_TF': np.float64(0.0)}",False,,
baseline,66,"{'1111': 84, '0010': 67, '1011': 56, '1110': 61, '1100': 65, '0101': 66, '1001': 64, '1101': 57, '1000': 72, '0110': 68, '0111': 59, '0011': 64, '1010': 65, '0000': 59, '0001': 44, '0100': 73}","{'H_AFM': np.float64(-0.015625), 'H_FM': np.float64(-0.05078125), 'H_TF': np.float64(0.0)}",False,,
baseline,67,"{'1110': 65, '0010': 61, '1010': 74, '1101': 63, '1100': 64, '0110': 58, '1000': 60, '0001': 56, '1111': 72, '1001': 64, '0101': 62, '0100': 64, '0111': 58, '0011': 70, '1011': 63, '0000': 70}","{'H_AFM': np.float64(0.01953125), 'H_FM': np.float64(-0.05078125), 'H_TF': np.float64(0.0)}",False,,
baseline,68,"{'0000': 58, '1110': 66, '1010': 54, '1111': 66, '0001': 66, '1101': 73, '0010': 67, '0110': 68, '1000': 69, '0101': 52, '1001': 69, '1100': 52, '0011': 65, '0111': 62, '1011': 57, '0100': 80}","{'H_AFM': np.float64(0.017578125), 'H_FM': np.float64(0.025390625), 'H_TF': np.float64(0.0)}",False,,
baseline,69,"{'1011': 71, '1010': 65, '1100': 67, '0001': 69, '1111': 65, '0000': 56, '0010': 79, '1001': 55, '0101': 67, '1110': 65, '0100': 64, '1101': 46, '1000': 64, '0110': 63, '0111': 66, '0011': 62}","{'H_AFM': np.float64(0.0078125), 'H_FM': np.float64(0.0078125), 'H_TF': np.float64(0.0)}",False,,
baseline,70,"{'1011': 63, '1010': 53, '1100': 75, '0001': 69, '1111': 66, '0010': 54, '0000': 75, '1001': 61, '0101': 62, '1110': 60, '0100': 61, '1101': 54, '1000': 72, '0110': 66, '0011': 78, '0111': 55}","{'H_AFM': np.float64(0.142578125), 'H_FM': np.float64(-0.060546875), 'H_TF': np.float64(0.0)}",False,,
baseline,71,"{'1100': 55, '1011': 58, '1110': 57, '1010': 71, '0011': 64, '0111': 69, '1101': 65, '1111': 54, '0001': 66, '0000': 65, '0010': 59, '0100': 77, '0101': 58, '1001': 74, '0110': 72, '1000': 60}","{'H_AFM': np.float64(-0.05078125), 'H_FM': np.float64(0.09375), 'H_TF': np.float64(0.0)}",False,,
baseline,72,"{'1010': 69, '1101': 71, '1001': 54, '0101': 73, '1110': 58, '0011': 58, '0111': 68, '1011': 62, '0000': 68, '0010': 73, '1100': 65, '0110': 53, '1000': 57, '1111': 72, '0001': 73, '0100': 50}","{'H_AFM': np.float64(-0.048828125), 'H_FM': np.float64(-0.103515625), 'H_TF': np.float64(0.0)}",True,,
baseline,73,"{'1010': 56, '0100': 60, '1110': 61, '1011': 68, '0111': 66, '0011': 68, '1111': 78, '0001': 56, '0101': 75, '1001': 71, '1100': 65, '1101': 56, '1000': 58, '0110': 59, '0000': 60, '0010': 67}","{'H_AFM': np.float64(0.01171875), 'H_FM': np.float64(-0.02734375), 'H_TF': np.float64(0.0)}",False,,
baseline,74,"{'1010': 57, '1011': 71, '0011': 56, '0111': 69, '1111': 51, '0001': 62, '0000': 61, '0010': 64, '1110': 76, '1100': 55, '0101': 61, '1001': 73, '1101': 78, '1000': 55, '0110': 60, '0100': 75}","{'H_AFM': np.float64(-0.0234375), 'H_FM': np.float64(0.0859375), 'H_TF': np.float64(0.0)}",False,,
baseline,75,"{'1100': 68, '1110': 52, '1011': 82, '0011': 63, '0111': 60, '1111': 69, '0001': 58, '0010': 59, '0000': 73, '1101': 76, '1000': 57, '0110': 48, '1001': 66, '0101': 66, '1010': 61, '0100': 66}","{'H_AFM': np.float64(0.044921875), 'H_FM': np.float64(-0.080078125), 'H_TF': np.float64(0.0)}",False,,
